custname,region,partnum,revenue,cost,margin
A&F WHOLESALE INSULATION,01-East,733211050,968.00,223.64,744.36
A&F WHOLESALE INSULATION,01-East,734851000,860.58,182.80,677.78
A&F WHOLESALE INSULATION,01-East,739541200,829.44,256.39,573.05
A&F WHOLESALE INSULATION,01-East,764902000,606.00,191.56,414.44
A&F WHOLESALE INSULATION,01-East,735750000,516.00,127.10,388.90
A&F WHOLESALE INSULATION,01-East,734611100,415.05,81.32,333.73
A&F WHOLESALE INSULATION,01-East,739561000,404.64,170.44,234.20
A&F WHOLESALE INSULATION,01-East,734311100,308.92,35.30,273.62
A&F WHOLESALE INSULATION,01-East,733141200,271.20,66.98,204.22
A&F WHOLESALE INSULATION,01-East,733464500,268.00,65.06,202.94
A&F WHOLESALE INSULATION,01-East,735752000,258.00,64.44,193.56
A.C. MILLER CONCRETE,01-East,764481000,23006.00,1404.61,21601.39
A.C. MILLER CONCRETE,01-East,764461006,776.00,54.50,721.50
"ABLE AEROSPACE, INC.",01-East,734311100,381.48,33.70,347.78
ABSORPTION CORP.,01-East,764221000,476.00,33.66,442.34
ACCEL-RF CORPORATION,01-East,733141200,520.00,66.98,453.02
ACME SPECIALTIES INC,01-East,733545700,1079.00,133.91,945.09
ACS INDUSTRIES INC.,01-East,740382101,165294.00,57490.21,107803.79
ACS INDUSTRIES INC.,01-East,733011000,4800.00,1200.36,3599.64
ADVANCE COOLING,01-East,739781100,394.88,95.21,299.67
ADVANCE THERMAL CORP,01-East,768221130,131510.40,39169.80,92340.60
ADVANCE THERMAL CORP,01-East,733201000,18278.00,4679.78,13598.22
ADVANCE THERMAL CORP,01-East,733151500,17460.00,3704.05,13755.95
ADVANCED CLIMATE TECH,01-East,770560000,597.00,89.50,507.50
ADVANCED RADIATION CORP,01-East,734211200,3785.12,369.72,3415.40
AECOM,01-East,770722000,1342.00,38.38,1303.62
AECOM,01-East,770930000,1054.50,23.77,1030.73
AERO ENGINEERING & MFG,01-East,771100000,5400.00,146.93,5253.07
AERO ENGINEERING & MFG,01-East,771102000,967.00,22.98,944.02
AERO TUBE TECHNOLOGIES,01-East,770800000,2736.00,51.10,2684.90
AGIS,01-East,739561100,56288.40,24606.26,31682.14
AGIS,01-East,740063000,38955.50,12193.45,26762.05
AGIS,01-East,764822000,15719.60,2604.25,13115.35
AGIS,01-East,734311100,12846.96,1478.00,11368.96
AGIS,01-East,777601000,4914.82,1366.94,3547.88
AGIS,01-East,734900000,4603.30,1637.23,2966.07
AGIS,01-East,764781040,3262.10,659.07,2603.03
AGIS,01-East,764482000,2740.30,636.09,2104.21
AGIS,01-East,739541100,2550.92,648.78,1902.14
AGIS,01-East,734910000,2068.55,421.22,1647.33
AGIS,01-East,764522000,1883.20,370.20,1513.00
AGIS,01-East,764762000,1677.00,454.39,1222.61
AGIS,01-East,743975000,1492.00,154.10,1337.90
AGIS,01-East,739761100,1214.15,603.28,610.87
AGIS,01-East,771170000,1119.85,75.47,1044.38
AGIS,01-East,738521000,1110.78,573.81,536.97
AGIS,01-East,739450000,756.22,390.35,365.87
AGIS,01-East,739521100,690.14,139.38,550.76
AGIS,01-East,764601000,473.55,93.00,380.55
AGIS,01-East,740023000,463.34,118.54,344.80
AGIS,01-East,764862000,429.15,78.55,350.60
AGIS,01-East,733525600,427.00,65.49,361.51
AGIS,01-East,764821000,385.40,62.62,322.78
AGIS,01-East,793330000,288.80,53.02,235.78
AGIS,01-East,793330074,139.00,48.23,90.77
AGIS,01-East,734611100,131.29,26.96,104.33
AIR LIQUIDE AT REC,01-East,734900000,203.60,37.83,165.77
AIR PRODUCTS & CHEMICALS,01-East,764761000,508.00,30.71,477.29
AIR PRODUCTS & CHEMICALS,01-East,764781000,454.00,20.45,433.55
AIR PRODUCTS & CHEMICALS,01-East,764821000,430.00,15.36,414.64
AKRO-FIREGUARD,01-East,726020019,231.50,22.61,208.89
ALBATROSS UV,01-East,764601000,326.00,13.29,312.71
ALBERTUS ENGINEERING INC.,01-East,734311100,700.00,70.60,629.40
ALCOA,01-East,724401150,28791.00,7594.88,21196.12
ALCOA,01-East,724401500,1620.00,370.66,1249.34
ALL TEMP INSULATION,01-East,735752000,23047.00,6722.23,16324.77
ALPHABET ENERGY INC,01-East,792654000,1024.00,321.90,702.10
ALPHABET ENERGY INC,01-East,792624000,666.00,86.09,579.91
ALPHABET ENERGY INC,01-East,739561200,421.12,76.67,344.45
ALPHABET ENERGY INC,01-East,739370000,364.80,138.24,226.56
ALSTOM POWER INC.,01-East,764902000,4299.75,2011.39,2288.36
ALTAIR TECHNOLOGIES,01-East,740361900,2736.00,898.74,1837.26
ALYSSA OXLEY,01-East,733423700,371.20,45.26,325.94
AMERET LLC,01-East,764261000,424.00,22.89,401.11
AMERICAN CONTROL & ENGRG,01-East,770560000,3018.00,172.18,2845.82
AMERICAN CONTROL & ENGRG,01-East,777601000,366.72,72.02,294.70
AMERICAN DESIGN &,01-East,764821000,430.00,15.36,414.64
AMERICAN NATIONAL CARBIDE,01-East,739761100,7695.36,2572.81,5122.55
AMERICAN POWER SERVICE,01-East,770500000,2043.00,83.60,1959.40
AMERICAN RAILCAR,01-East,764706120,1199.52,326.91,872.61
"AMERISAFE, INC",01-East,733725500,205.20,51.76,153.44
AMERITHERM INC.,01-East,766081010,1101.00,36.37,1064.63
AMERITHERM INC.,01-East,766121000,875.00,27.25,847.75
ANCHOR INSULATION,01-East,768144200,3070.00,526.37,2543.63
ANTHONY INTERNATIONAL,01-East,764521000,973.00,39.87,933.13
APCO SERVICES,01-East,770570000,3316.50,201.46,3115.04
APEX DISTRIBUTING INC,01-East,735602000,23968.00,5841.31,18126.69
APEX DISTRIBUTING,01-East,735602000,90480.00,25799.33,64680.67
APPLIED INDUSTRIAL TECH.,01-East,738561000,20198.72,9345.87,10852.85
APPLIED INDUSTRIAL TECH.,01-East,733525600,14175.00,2075.84,12099.16
APPLIED INDUSTRIAL TECH.,01-East,770222000,9348.15,800.79,8547.36
APPLIED INDUSTRIAL TECH.,01-East,764821000,3362.20,262.86,3099.34
APPLIED INDUSTRIAL TECH.,01-East,770522000,3337.10,205.59,3131.51
APPLIED INDUSTRIAL TECH.,01-East,770560000,1347.30,89.50,1257.80
APPLIED INDUSTRIAL TECH.,01-East,777601000,738.72,130.82,607.90
APPLIED INDUSTRIAL TECH.,01-East,724003000,591.15,81.82,509.33
APPLIED INDUSTRIAL TECH.,01-East,724281200,510.90,89.08,421.82
APPLIED INDUSTRIAL TECH.,01-East,764341000,406.00,47.97,358.03
APPLIED INDUSTRIAL TECH.,01-East,733151600,310.60,46.64,263.96
APPLIED TECHNICAL SERVICE,01-East,754067000,1935.00,617.82,1317.18
APPLIED TECHNICAL SERVICE,01-East,739450000,708.91,260.23,448.68
APPLIED TECHNICAL SERVICE,01-East,764521000,325.80,39.81,285.99
APPROVED AERONAUTICS,01-East,733464500,626.00,65.05,560.95
APPROVED AERONAUTICS,01-East,733444200,348.00,38.64,309.36
ARCHIE BRAY FOUNDATION,01-East,734351200,1890.75,143.35,1747.40
AREMCO PRODUCTS INC,01-East,734000000,11289.75,1365.74,9924.01
AREMCO PRODUCTS INC,01-East,734030000,2236.50,494.66,1741.84
AREMCO PRODUCTS INC,01-East,734040000,1912.00,484.88,1427.12
ARI - MARMADUKE,01-East,764706120,74370.24,20268.30,54101.94
ARI - MARMADUKE,01-East,764652002,34003.20,5785.32,28217.88
ARMENA REFINING USA,01-East,764481000,1758.00,86.00,1672.00
ASHLAND ADVANCED,01-East,766689000,19660.00,2386.27,17273.73
ASK CHEMICALS HI-TECH LLC,01-East,732663000,215136.00,33045.76,182090.24
ASK CHEMICALS HI-TECH LLC,01-East,732670000,11329.90,4547.46,6782.44
ASK CHEMICALS HI-TECH LLC,01-East,732675000,6236.33,2049.38,4186.95
ASK CHEMICALS HI-TECH LLC,01-East,732650000,4881.61,1944.67,2936.94
ASK CHEMICALS HI-TECH LLC,01-East,732662000,4792.50,1755.06,3037.44
ASK CHEMICALS HI-TECH LLC,01-East,732630000,4683.15,1258.91,3424.24
ASK CHEMICALS HI-TECH LLC,01-East,733141200,265.60,133.96,131.64
ASPEN PRODUCTS GROUP,01-East,739390000,364.64,161.76,202.88
ATLANTECH DISTRIBUTION,01-East,735602000,77355.00,29396.27,47958.73
ATLANTECH DISTRIBUTION,01-East,739741100,31786.40,32062.53,-276.13
ATLANTECH DISTRIBUTION,01-East,735752000,10092.00,4207.32,5884.68
ATLANTECH DISTRIBUTION,01-East,735602010,1800.00,1130.24,669.76
ATLANTECH DISTRIBUTION,01-East,734351200,1488.52,147.24,1341.28
ATLANTECH DISTRIBUTION,01-East,734751200,654.45,113.13,541.32
ATLANTECH DISTRIBUTION,01-East,738542000,640.32,574.08,66.24
ATLANTIC CASTING,01-East,734351200,1890.75,143.35,1747.40
"ATLAS HOSE & GASKET CO.,",01-East,739521100,1320.48,120.06,1200.42
ATLAS METALIZING,01-East,733586500,1857.60,181.35,1676.25
ATLAS METALIZING,01-East,734311100,381.48,33.70,347.78
AUBURN MANUFACTURING CO.,01-East,733464600,611.00,66.28,544.72
AUBURN MANUFACTURING CO.,01-East,770310000,518.00,45.47,472.53
AUBURN MANUFACTURING CO.,01-East,733151500,472.00,54.11,417.89
AUBURN MANUFACTURING CO.,01-East,733725500,286.00,51.76,234.24
AUTOMATIC MACHINE PRODUCT,01-East,740382101,4334.40,1351.23,2983.17
"AVIS INDUSTRIES, INC.",01-East,724281900,600.00,148.99,451.01
BAE SYSTEMS,01-East,738401000,681.48,321.12,360.36
BAE SYSTEMS,01-East,768021000,389.00,27.49,361.51
BAILEY POTTERY EQUIPMENT,01-East,734311100,4196.80,410.84,3785.96
BAKER DISTRIBUTING  CO.,01-East,735602000,31774.50,7934.89,23839.61
BAKER MODULES,01-East,793560000,6660.00,2649.33,4010.67
BALLARD MATERIAL PRODUCTS,01-East,764481000,2090.00,169.41,1920.59
BASF CORPORATION,01-East,724071900,23791.32,3183.37,20607.95
BASF,01-East,733141200,520.00,66.98,453.02
BATTELLE FOR THE US DOE,01-East,777601000,386.72,72.02,314.70
BATTELLE FOR THE US DOE,01-East,768111000,280.00,15.38,264.62
BAY INDUSTRIES INC.,01-East,735602000,1477184.00,497108.39,980075.61
BAY INDUSTRIES INC.,01-East,735602110,428300.00,150904.70,277395.30
BAY INDUSTRIES INC.,01-East,764631000,244921.60,80765.31,164156.29
BAY INDUSTRIES INC.,01-East,735750000,111685.00,45262.02,66422.98
BAY INDUSTRIES INC.,01-East,764822000,93744.00,22126.95,71617.05
BAY INDUSTRIES INC.,01-East,764651000,87479.04,24691.61,62787.43
BAY INDUSTRIES INC.,01-East,764901000,80118.75,33921.91,46196.84
BAY INDUSTRIES INC.,01-East,764522000,77203.00,22375.27,54827.73
BAY INDUSTRIES INC.,01-East,764821000,74253.50,28926.60,45326.90
BAY INDUSTRIES INC.,01-East,764521000,48980.00,20993.74,27986.26
BAY INDUSTRIES INC.,01-East,764706300,41077.76,17359.48,23718.28
BAY INDUSTRIES INC.,01-East,764602000,35085.00,11564.29,23520.71
BAY INDUSTRIES INC.,01-East,735752000,28110.00,9784.77,18325.23
BAY INDUSTRIES INC.,01-East,764902000,18430.00,4808.72,13621.28
BAY INDUSTRIES INC.,01-East,735862000,16374.40,7084.09,9290.31
BAY INDUSTRIES INC.,01-East,764261000,14530.00,6650.50,7879.50
BAY INDUSTRIES INC.,01-East,766162000,14175.00,8969.25,5205.75
BAY INDUSTRIES INC.,01-East,764861000,13845.00,6022.31,7822.69
BAY INDUSTRIES INC.,01-East,766121000,13800.00,5970.23,7829.77
BAY INDUSTRIES INC.,01-East,764862000,11307.50,4896.53,6410.97
BAY INDUSTRIES INC.,01-East,764706200,10386.24,3579.18,6807.06
BAY INDUSTRIES INC.,01-East,764341000,9600.00,4797.40,4802.60
BAY INDUSTRIES INC.,01-East,764901050,8960.00,2021.74,6938.26
BAY INDUSTRIES INC.,01-East,733151500,8720.00,2164.26,6555.74
BAY INDUSTRIES INC.,01-East,779988827,8169.56,4272.41,3897.15
BAY INDUSTRIES INC.,01-East,780250000,5103.36,2493.56,2609.80
BAY INDUSTRIES INC.,01-East,780401000,4239.36,2825.72,1413.64
BAY INDUSTRIES INC.,01-East,764601000,3175.00,1328.62,1846.38
BAY INDUSTRIES INC.,01-East,764561000,2053.00,926.49,1126.51
BAY INDUSTRIES INC.,01-East,766001000,1290.00,599.17,690.83
BAY INDUSTRIES INC.,01-East,766122000,1180.00,287.62,892.38
BAY INDUSTRIES INC.,01-East,734910000,571.00,102.70,468.30
BAY INDUSTRIES INC.,01-East,768144210,321.70,118.28,203.42
BAY INSULATION OF TEXAS,01-East,735750000,4740.00,1906.59,2833.41
BAY INSULATION,01-East,739781100,558.59,327.68,230.91
"BENGAL SUPPLY, LLC",01-East,735602000,27360.00,8284.44,19075.56
BIRK MANUFACTURING,01-East,733525500,752.50,70.39,682.11
BLACKSTONE-NEY ULTRASONIC,01-East,739641100,393.84,137.43,256.41
BLASCH PRECISION CERAMICS,01-East,764821000,4402.00,155.37,4246.63
BLASCH PRECISION CERAMICS,01-East,770212000,3133.00,237.35,2895.65
BLASCH PRECISION CERAMICS,01-East,770200000,2592.00,166.40,2425.60
BLASCH PRECISION PRODUCTS,01-East,770212000,2054.00,156.16,1897.84
BLASCH PRECISION PRODUCTS,01-East,770220000,942.00,54.69,887.31
BLASCH PRECISION PRODUCTS,01-East,764821000,860.00,30.72,829.28
BLASCH PRECISION PRODUCTS,01-East,779987651,815.00,95.41,719.59
BLICKMAN INC.,01-East,739541100,23069.76,3433.81,19635.95
BLOOM ENERGY CORPORATION,01-East,777907250,3930.00,2688.00,1242.00
BLOUNT BOATS INC.,01-East,768133000,2592.00,706.53,1885.47
BLOXR CORPORATION,01-East,733525500,5840.00,563.15,5276.85
BLOXR CORPORATION,01-East,733464600,2960.00,349.71,2610.29
BLOXR CORPORATION,01-East,733444200,1676.00,193.20,1482.80
BLOXR CORPORATION,01-East,733464500,1252.00,130.10,1121.90
BODY COTE,01-East,764461006,1200.00,136.24,1063.76
BOEING AEROSPACE COMPANY,01-East,733141200,432.00,59.97,372.03
BOEING COMMERCIAL,01-East,733648000,197199.00,116961.57,80237.43
BOEING COMMERCIAL,01-East,733649000,89635.00,54444.71,35190.29
BOEING COMPANY,01-East,715000000,2635.00,304.36,2330.64
BOEING COMPANY,01-East,737912200,692.00,86.72,605.28
BOEING COMPANY,01-East,737902100,462.00,67.12,394.88
BOEING COMPANY,01-East,727000140,255.20,15.84,239.36
BOLTS METALLIZING WEST,01-East,733464500,596.00,59.04,536.96
BOLTS METALLIZING WEST,01-East,764481000,346.00,16.94,329.06
BOSTON ATLANTIC CORP.,01-East,738361000,601.92,164.47,437.45
BRADCO SUPPLY INC.,01-East,735602000,13050.00,3796.01,9253.99
BRADEN MANUFACTURING,01-East,768231000,65059.00,43104.30,21954.70
BRADEN MANUFACTURING,01-East,768241000,56919.95,37832.36,19087.59
BRADEN MANUFACTURING,01-East,768080000,48538.00,37090.11,11447.89
BRADEN MANUFACTURING,01-East,771320000,44468.50,6242.28,38226.22
BRADEN MANUFACTURING,01-East,768231012,29663.00,20710.29,8952.71
BRADEN MANUFACTURING,01-East,768241102,20942.25,14417.91,6524.34
BRADEN MANUFACTURING,01-East,768231200,3120.00,1794.85,1325.15
BRADEN MANUFACTURING,01-East,768144200,975.20,213.33,761.87
BRADEN MANUFACTURING,01-East,770220000,423.90,27.35,396.55
BRAND ENERGY SERVICES LLC,01-East,733464600,298.00,31.31,266.69
BRAUER SUPPLY COMPANY,01-East,735602000,414296.00,132066.58,282229.42
BRAUER SUPPLY COMPANY,01-East,735602110,58712.00,19152.93,39559.07
BRAUER SUPPLY COMPANY,01-East,735752000,27784.00,10316.12,17467.88
BRAUER SUPPLY COMPANY,01-East,735750000,26081.00,10090.73,15990.27
BRAYTON ENERGY,01-East,740361701,1130.40,628.78,501.62
BRIGHTSOURCE CONSTRUCTION,01-East,777690062,1287662.20,981523.47,306138.73
BRIGHTSOURCE CONSTRUCTION,01-East,777692562,167520.00,159604.68,7915.32
BRIGHTSOURCE CONSTRUCTION,01-East,777692662,74214.00,71587.06,2626.94
BRIGHTSOURCE CONSTRUCTION,01-East,777699062,55212.48,42084.51,13127.97
BRIGHTSOURCE CONSTRUCTION,01-East,777691562,53806.86,41013.63,12793.23
BRIGHTSOURCE CONSTRUCTION,01-East,777690362,48810.30,37205.76,11604.54
BRIGHTSOURCE CONSTRUCTION,01-East,777692462,46068.00,43855.34,2212.66
BRIGHTSOURCE CONSTRUCTION,01-East,777690862,41884.00,31925.88,9958.12
BRIGHTSOURCE CONSTRUCTION,01-East,793550074,33637.68,25235.42,8402.26
BRIGHTSOURCE CONSTRUCTION,01-East,777691162,26386.62,14917.77,11468.85
BRIGHTSOURCE CONSTRUCTION,01-East,777691262,22967.01,12984.93,9982.08
BRIGHTSOURCE CONSTRUCTION,01-East,777692762,14812.56,14256.34,556.22
BRIGHTSOURCE CONSTRUCTION,01-East,777652674,9360.00,7134.30,2225.70
BRIGHTSOURCE CONSTRUCTION,01-East,777691862,9332.70,6996.81,2335.89
BRIGHTSOURCE CONSTRUCTION,01-East,734351200,9206.20,1495.44,7710.76
BRIGHTSOURCE CONSTRUCTION,01-East,734910000,8718.50,2413.34,6305.16
BRIGHTSOURCE CONSTRUCTION,01-East,777694062,8559.36,6524.10,2035.26
BRIGHTSOURCE CONSTRUCTION,01-East,777690162,8506.16,6483.44,2022.72
BRIGHTSOURCE CONSTRUCTION,01-East,777652362,7994.08,7693.90,300.18
BRIGHTSOURCE CONSTRUCTION,01-East,777690262,7766.72,5919.46,1847.26
BRIGHTSOURCE CONSTRUCTION,01-East,777692262,4827.45,3679.56,1147.89
BRIGHTSOURCE CONSTRUCTION,01-East,777690462,4640.40,3537.06,1103.34
BRIGHTSOURCE CONSTRUCTION,01-East,777652474,4491.50,3422.70,1068.80
BRIGHTSOURCE CONSTRUCTION,01-East,779988847,4118.40,3719.38,399.02
BRIGHTSOURCE CONSTRUCTION,01-East,777690962,4039.56,3079.12,960.44
BRIGHTSOURCE CONSTRUCTION,01-East,777690562,3168.18,2414.84,753.34
BRIGHTSOURCE CONSTRUCTION,01-East,777691062,2854.62,2175.86,678.76
BRIGHTSOURCE CONSTRUCTION,01-East,777691962,2446.05,1864.35,581.70
BRIGHTSOURCE CONSTRUCTION,01-East,777692362,2357.25,1796.85,560.40
BRIGHTSOURCE CONSTRUCTION,01-East,777692162,2129.10,1622.88,506.22
BRIGHTSOURCE CONSTRUCTION,01-East,777690662,2041.50,1556.12,485.38
BRIGHTSOURCE CONSTRUCTION,01-East,777690762,1912.50,1457.76,454.74
BRIGHTSOURCE CONSTRUCTION,01-East,777692062,1723.10,1313.36,409.74
BRIGHTSOURCE CONSTRUCTION,01-East,777691662,1636.65,1247.43,389.22
BRIGHTSOURCE CONSTRUCTION,01-East,777693062,1499.80,1143.20,356.60
BRIGHTSOURCE CONSTRUCTION,01-East,777691762,1424.70,1085.82,338.88
BRIGHTSOURCE CONSTRUCTION,01-East,777692962,1192.86,1148.00,44.86
BRIGHTSOURCE CONSTRUCTION,01-East,777652462,1175.60,1131.46,44.14
BRIGHTSOURCE CONSTRUCTION,01-East,777693162,1175.60,1131.46,44.14
BRIGHTSOURCE CONSTRUCTION,01-East,777652762,1147.32,1109.07,38.25
BRIGHTSOURCE CONSTRUCTION,01-East,777652862,1147.32,1109.07,38.25
BRIGHTSOURCE CONSTRUCTION,01-East,777652562,1132.95,876.03,256.92
BRIGHTSOURCE CONSTRUCTION,01-East,777695062,860.04,655.58,204.46
BRIGHTSOURCE CONSTRUCTION,01-East,777692862,662.70,637.78,24.92
BRIGHTSOURCE CONSTRUCTION,01-East,777693262,644.00,619.76,24.24
BRIGHTSOURCE CONSTRUCTION,01-East,777696062,587.16,447.56,139.60
BRIGHTSOURCE CONSTRUCTION,01-East,777697062,333.60,254.30,79.30
BRIGHTSOURCE CONSTRUCTION,01-East,777698062,333.60,254.30,79.30
BRUCE DIAMOND CORP,01-East,739541000,3960.00,614.63,3345.37
BRUCE DIAMOND CORP,01-East,740103000,824.88,135.47,689.41
BRUCE DIAMOND CORP,01-East,740123000,697.20,128.01,569.19
BRUCKNER SUPPLY,01-East,766121000,67600.00,15986.46,51613.54
BRUCKNER SUPPLY,01-East,770522000,49598.90,3037.44,46561.46
BRUCKNER SUPPLY,01-East,733211000,24816.00,5532.59,19283.41
BRUCKNER SUPPLY,01-East,764821000,18717.75,5145.39,13572.36
BRUCKNER SUPPLY,01-East,734970000,6428.22,2695.00,3733.22
BRUCKNER SUPPLY,01-East,734311100,3501.96,308.12,3193.84
BRUCKNER SUPPLY,01-East,733403200,3082.64,396.68,2685.96
BRUCKNER SUPPLY,01-East,740361701,2649.60,1894.86,754.74
BRUCKNER SUPPLY,01-East,770540000,1356.25,94.98,1261.27
BRUCKNER SUPPLY,01-East,740402402,815.00,193.66,621.34
BRUCKNER SUPPLY,01-East,774751000,636.00,79.14,556.86
BRUCKNER SUPPLY,01-East,764221000,476.00,33.66,442.34
BRUCKNER SUPPLY,01-East,733464500,412.00,65.05,346.95
BRUCKNER SUPPLY,01-East,774671000,408.00,48.36,359.64
BRUCKNER SUPPLY,01-East,774901000,336.00,39.57,296.43
BRUCKNER SUPPLY,01-East,764221100,276.00,89.64,186.36
BRUCKNER SUPPLY,01-East,764341000,101.60,23.98,77.62
BRYANT REFRACTORY CO.,01-East,764781040,676089.00,471699.33,204389.67
BRYANT REFRACTORY CO.,01-East,764821000,630120.00,268156.41,361963.59
BRYANT REFRACTORY CO.,01-East,764901000,348688.50,165932.95,182755.55
BRYANT REFRACTORY CO.,01-East,764901050,303447.00,143134.67,160312.33
BRYANT REFRACTORY CO.,01-East,764821030,283968.00,123668.14,160299.86
BRYANT REFRACTORY CO.,01-East,779958162,279532.50,239408.15,40124.35
BRYANT REFRACTORY CO.,01-East,764521000,258694.00,116027.89,142666.11
BRYANT REFRACTORY CO.,01-East,779956871,135368.20,82522.69,52845.51
BRYANT REFRACTORY CO.,01-East,764601000,125635.50,60782.67,64852.83
BRYANT REFRACTORY CO.,01-East,764781000,119858.80,43501.50,76357.30
BRYANT REFRACTORY CO.,01-East,755084012,108981.72,78419.81,30561.91
BRYANT REFRACTORY CO.,01-East,766121000,100401.00,29406.10,70994.90
BRYANT REFRACTORY CO.,01-East,779956872,97091.40,58656.10,38435.30
BRYANT REFRACTORY CO.,01-East,764821073,78502.50,77091.75,1410.75
BRYANT REFRACTORY CO.,01-East,764901073,68160.00,69984.00,-1824.00
BRYANT REFRACTORY CO.,01-East,777902600,66942.40,30423.72,36518.68
BRYANT REFRACTORY CO.,01-East,764861000,62798.50,29542.69,33255.81
BRYANT REFRACTORY CO.,01-East,766122000,60473.00,18929.13,41543.87
BRYANT REFRACTORY CO.,01-East,733211000,59539.00,12254.84,47284.16
BRYANT REFRACTORY CO.,01-East,779958166,58110.00,40961.06,17148.94
BRYANT REFRACTORY CO.,01-East,764522000,52800.00,34920.83,17879.17
BRYANT REFRACTORY CO.,01-East,768231000,46204.70,8821.75,37382.95
BRYANT REFRACTORY CO.,01-East,779957196,43989.88,33000.66,10989.22
BRYANT REFRACTORY CO.,01-East,764821161,41437.50,41106.00,331.50
BRYANT REFRACTORY CO.,01-East,779958163,39330.00,29511.06,9818.94
BRYANT REFRACTORY CO.,01-East,738401000,31212.00,24325.62,6886.38
BRYANT REFRACTORY CO.,01-East,733151500,29912.60,4793.77,25118.83
BRYANT REFRACTORY CO.,01-East,733525600,25490.00,3701.87,21788.13
BRYANT REFRACTORY CO.,01-East,764561000,22148.50,9722.37,12426.13
BRYANT REFRACTORY CO.,01-East,779956873,21656.96,13171.69,8485.27
BRYANT REFRACTORY CO.,01-East,739641100,19815.99,13268.06,6547.93
BRYANT REFRACTORY CO.,01-East,764521061,18910.00,19809.00,-899.00
BRYANT REFRACTORY CO.,01-East,739681100,17905.14,10064.72,7840.42
BRYANT REFRACTORY CO.,01-East,764521073,17080.00,18060.00,-980.00
BRYANT REFRACTORY CO.,01-East,779956889,17040.00,9791.02,7248.98
BRYANT REFRACTORY CO.,01-East,764261000,16775.00,7495.39,9279.61
BRYANT REFRACTORY CO.,01-East,779956888,14752.80,11805.66,2947.14
BRYANT REFRACTORY CO.,01-East,734910000,14153.10,4031.97,10121.13
BRYANT REFRACTORY CO.,01-East,738361000,12791.68,8913.41,3878.27
BRYANT REFRACTORY CO.,01-East,727000140,11168.32,1409.36,9758.96
BRYANT REFRACTORY CO.,01-East,739561000,10692.28,2993.42,7698.86
BRYANT REFRACTORY CO.,01-East,766750050,9856.00,4894.16,4961.84
BRYANT REFRACTORY CO.,01-East,766162000,9756.00,5063.70,4692.30
BRYANT REFRACTORY CO.,01-East,779956498,9360.00,6315.06,3044.94
BRYANT REFRACTORY CO.,01-East,764341000,9162.00,5108.81,4053.19
BRYANT REFRACTORY CO.,01-East,777601000,8527.59,2466.39,6061.20
BRYANT REFRACTORY CO.,01-East,734661300,8503.00,1654.31,6848.69
BRYANT REFRACTORY CO.,01-East,734900000,8109.40,4531.36,3578.04
BRYANT REFRACTORY CO.,01-East,724261200,7204.40,1336.67,5867.73
BRYANT REFRACTORY CO.,01-East,739661100,7102.08,3744.00,3358.08
BRYANT REFRACTORY CO.,01-East,779958168,7000.00,7375.04,-375.04
BRYANT REFRACTORY CO.,01-East,737912200,6980.25,1777.81,5202.44
BRYANT REFRACTORY CO.,01-East,764822000,6730.00,2235.10,4494.90
