Current Area and City of Residence? ,A brief about you and your interests? ,Which of the following will best describe your current profession? ,Your startup/expertise lies in which of the following industries? (Try to be as specific as possible),What is your domain of expertise? (Try to be as specific as possible),Stage of your startup/Employer? ,Any specific connect you are currently seeking? ,Why are you seeking the above mentioned Connect? ,How do you think you can help other pushstarters? 
Hyderabad,,Startup Founder,Co-working Spaces,"Product Design, Program management",MVP (proof of concept is out with select customers),,,
"Dilshuknagar, Hyderabad","Education space, Food industry",Working Professional,Basic research,"Operations, Research and development ",Public Company,,Idea validation and help in boot strapping ,"If I turn out successful, I can share my experiences and ideas."
Hyderabad,Helping clients to increase sales by 30% with our AD-DOLL ,"Startup Founder, Working Professional","Sales & Marketing , Digital marketing & Branding.","Operations, Sales, Product Development, Product Design, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",,"Expansion, team building.","sales & marketing, growth strategy, development"
Mumbai,,Startup Founder,"Logistics, Location Intelligence","Operations, Sales, Product Development",Early Growth (seeking seed/angel funding),,Looking to connect with investors and other entrepreneurs from logistics industry.,Contributing and connecting. 
"Whitefield , Hyderabad",I am Chatbot developer and Fitness enthusiast hence working on building next generation Fitness virtual assistance. Also we (http://chatbot.website/)  develop awesome chatbot for SME. Would love to meet new people specially in startup community. I think we can meet for coffee and chat.,"Startup Founder, Working Professional","Health Tech, AR, AI",Product Development,MVP (proof of concept is out with select customers),,Help to validate my idea and be early user to gain advantage.,"Help them to stay fit, can help to build chatbot as well."
"Koramangala, Bengaluru",,"Startup Founder, Mentor","Health Tech, Food Tech, E-commerce & Internet Startups","Sales, Digital Marketing, Community building, Growth Strategy","Growth (multiple customer, positive revenue, making profits)",,,
"Lb Nagar, Hyderabad","Deep learning, AI , Computer vision, Robotics","Post-Graduate Student, Startup Founder, Mentor",AI,Product Development,MVP (proof of concept is out with select customers),,"Build a team, networking","MVP advice, CTO point of view advice"
Chennai,"A history of working in the e-learning and event management industry.

Strong professional, currently pursuing a Bachelor of Technology (B.Tech) focused in Electrical and Electronics Engineering from SRM University. 

Headed operations for The Climber - Chennai for over a year. Managed a team of 60+ members and successfully worked on projects like Lit.Up Chennai , IYC 2017, IYC 2018 , Recess and <Co/LAB> 

Personal interests are mainly sports , beatboxing and business. ","Under-Graduate Student, freelancer",EdTech,"Operations, Sales, Partnerships","Growth (multiple customer, positive revenue, making profits)",,Mentorship and guidance. ,Probably one of the youngest in the community. Can bring in new ideas. 
Bangalore,I am a UI UX Designer,"Post-Graduate Student, Mentor, freelancer","VR, AR, Design",Product Design,Don't have a startup,,,With my Digital Product Design skills - UI UX help. Also small scale brand identity design.
"Ayanavaram, chennai ","I'm a electronics and Instrumentation Engg fresher. My interests are in embedded systems, automation, robotics, process control and industrial instrumentation. I have basic knowledge about c++ and MATLAB ",Under-Graduate Student,AI,Product Development,Don't have a startup,,"I'm currently looking for job openings in electronics and Instrumentation Engg for freshers in chennai, Bangalore or hyderabad. It would be great if PushStarters help in finding a suitable job. ",I can help them of informing them of the leads for jobs that I come to know or any other help required that I can do. 
"Bhubaneswar, Odisha",,Under-Graduate Student,Ad-Tech,Product Development,Don't have a startup,,,
Hyderabad,,Working Professional,"Fin Tech, AI, Blockchain","Sales, Product Development, Product Design",Don't have a startup,,"Idea validation, networking, learning","Mentoring, brainstorming, research "
"Whitefields, Hyderabad",,Startup Founder,"AR, AI, Blockchain","Operations, Sales, Product Development",Early Growth (seeking seed/angel funding),,Networking ,Knowledge Sharing
"Kondapur, Hyderabad ",,Working Professional,"Agri Tech, Fin Tech, Health Tech, AI, Sales Tech",Sales,Don't have a startup,,,Help with sales process
Chennai,Mechanical engineer and  have in an aviation,Under-Graduate Student,VR,Product Development,Don't have a startup,,,
Hyderabad ,,"Working Professional, Mentor","Fin Tech, VR, AR, AI, Blockchain","Product Development, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",,Need some guidance regarding getting investment for a startup.,Any tech related help.
Paris. ,,"Under-Graduate Student, Working Professional, freelancer","VR, AR","Operations, Product Development, Community building","Growth (multiple customer, positive revenue, making profits)",,,
Hyderabad,,Startup Founder,Defense manufacturing ,"Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,Would love to connect with more tech oriented people to bring more innovation into defense ,
"CV Raman Nagar, Bengaluru","5.5 years in ISRO, new rocket engine development. Started up my own restaurant  and sold. MBA from ISB, joined future group in their new technology development team. Interested in utilizing technology for new ventures.",Working Professional,"Agri Tech, Fin Tech, AI, Blockchain, Aerospace","Operations, Project Management",Don't have a startup,,Networking and seeking partners to work with,Expertise and network
"East Delhi,Delhi",,Startup Founder,AI,Product Development,MVP (proof of concept is out with select customers),,,Teaching Pushstarters to build MVP without code!
JAIPUR,,Under-Graduate Student,"Fin Tech, Food Tech, AI, Blockchain","Operations, Product Development, Product Design, Digital Marketing",Ideation (brainstorming around few ideas),,Mentoring,
Hyderabad ,,Working Professional,AI,Product Development,"Growth (multiple customer, positive revenue, making profits)",,,Can be helpful in terms of operations and product development! 
Hyderabad ,,"Under-Graduate Student, Startup Founder, Working Professional","Fin Tech, Food Tech, Blockchain","Product Development, Product Design, Digital Marketing, Community building",Early Growth (seeking seed/angel funding),,,
Indiranagar and Hyderabad,"Coming to me, I'm passionate about communities, startups, non-profits, coworking spaces and healthtech.

I'm currently living in Hyderabad and working as Business Development Manager at TalkADoc, which is a doctor and patient engagement SAAS platform for mental illness care.

I previously founded Saakshar, a non-profit which used to work in the education space.

I would always be found reading something or the other in the Pocket app, watching videos on YouTube and forging relationships with new people.",Working Professional,Health Tech,"Sales, Community building",Early Growth (seeking seed/angel funding),,Looking forward to connecting with as many people as I can and knowing more about them.,I can help with connects and required resources etc.
"BITS Pilani,  Hyderabad",,Under-Graduate Student,"Fin Tech, Health Tech","Sales, Digital Marketing",MVP (proof of concept is out with select customers),,"Early adopters, as my product is targeted toward startup founders.","By guiding others who are struggling with ideas, provide contacts and references and also initiate interesting conversations on the group."
Hyderabad Miyapur,,Working Professional,"Health Tech, VR, AR, AI, Blockchain","Product Development, Product Design",Don't have a startup,,Learning the start up system and listening to new ideas of the startups,guiding product devlopement..beta testing may be...
Hyderabad,"Had a Startup in my second year, Dealing with the collection of public opinions, via giving instant gratification to the users.",Under-Graduate Student,"AI, Blockchain",Product Development,MVP (proof of concept is out with select customers),,,
Vijayawada ,,Working Professional,AI,Product Design,Ideation (brainstorming around few ideas),,Looking for a cofounder ,
"Karol bagh, New Delhi",,Under-Graduate Student,"Agri Tech, Food Tech",Operations,Don't have a startup,,,
Hyderabad,"Co-founder , CEO @ Favo construction technologies Pvt. Ltd. ",Startup Founder,freeform construction (concrete 3D printing) ,"Operations, Product Development, Product Design",Ideation (brainstorming around few ideas),,Networking ,Potential business partnership 
Hyderabad,,Startup Founder,B2B,Business Owner,"Growth (multiple customer, positive revenue, making profits)",,No,"Sharing experience, connections."
Mumbai,Passionate about tech. Likes to build stuff,Working Professional,AI,Product Development,Don't have a startup,,Nope,Knowledge gained in AI
Hyderabad,,"Startup Founder, Mentor",L&D and recruitment,"Operations, Sales",,,Not at the moment,Mentoring
"Ghaziabad, NCR",,Startup Founder,"Fin Tech, Health Tech, Food Tech, AI, Blockchain","Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,Enhance knowledge and networl,Knowledge sharing
"Tarnaka, Hyderabad",,Startup Founder,Cyber Security,"Operations, Product Development",Early Growth (seeking seed/angel funding),,"Sales, Fund raise","Product Dev, Anything in tech"
Delhi,"I am interested in edtech, astronomy and tech products in general. ",Working Professional,Edtech ,"Sales, Product Development, Community building","Growth (multiple customer, positive revenue, making profits)",,Connects with domain people,Anything related to sales process and building a niche community of users
PUNE,,freelancer,Marketing,"Digital Marketing, Community building",Ideation (brainstorming around few ideas),digital marketing & content writing expert,Freelancing projects,Content
Hyderabad,,Working Professional,"Health Tech, AI, Electronics and Hardware",Product Development,"Growth (multiple customer, positive revenue, making profits)",,Looking for opportunities in Electronics & Hardware based Startups!,"Providing information on electronics based startups, like component sourcing, etc"
Saidabad located in hyderabad ,,Post-Graduate Student,Vlsi domain ,Vlsi front end designer,Don't have a startup,,At the moment no,I have few friends of mine who are willing to start their own venture I will try to invite them such that it will beneficial to both sides. 
Visakhapatnam,"I am presently pursuing my 4th yr B-Tech. in Mechanical Engineering at IIT Bhubaneswar and am passionate about solving the real life problems and to innovate continuosly. I am working on my own ideas and am looking for any relevant connections.

Hobbies- Photography",Under-Graduate Student,"Health Tech, Service oriented startups","Operations, Product Design",Ideation (brainstorming around few ideas),,I am looking forward for suggestions on how to proceed further from the basic idea to validation and then to setting up a company.,"I can give suggestions to the ideas people are coming up subjected to the condition that , I have a prior knowledge and interests in that particular domain."
Puducherry,I am a Product Designer. I am the founder and Design Director of Prodotype. I design and build products. ,Startup Founder,"Agri Tech, Food Tech, Product Design","Product Development, Product Design","Growth (multiple customer, positive revenue, making profits)",,"If Pushstarters can help me generate leads for developing and designing their products, that will be awesome. ",I would be happy to help pushstarters by doing product design for them for a lower price. We can do this through Push deals. 
Hyderabad,,Under-Graduate Student,"Fin Tech, AI","Product Development, Technical Skills",Ideation (brainstorming around few ideas),,Validate Ideas,"Technical Skills
Engage with discussions"
Hyderabad,"Founder and CEO, QuackQuack ",Startup Founder,Consumer internet ,"Product Development, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",,Looking to connect with ml/ai experts,Growth hacking 
"MLB Colony, Gwalior MP",,freelancer,Education,"Operations, Product Development, Community building, Event Management",Ideation (brainstorming around few ideas),,Networking,Events Releted Problems
"SR nagar, Hyderabad ",,"Startup Founder, freelancer",IT,Product Development,Early Growth (seeking seed/angel funding),,Connections,Providing IT Services
Gurgaon delhi,Finance tech startup enthusiast critic,Working Professional,"Agri Tech, Fin Tech, Health Tech, Food Tech, Blockchain",Digital Marketing,MVP (proof of concept is out with select customers),,Nothing,In whatver way possible
Hyderabad,"Blockchain
AI/ML
CV
IOT
RPA","Startup Founder, Working Professional, Angel Investor","Agri Tech, Fin Tech, VR, AR, AI, Blockchain","Product Development, Product Design, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",,Support,"Network, employment, funding"
MG Road Bengaluru,,"Startup Founder, Working Professional","Fin Tech, Blockchain, TravelTech","Product Development, Digital Marketing",Early Growth (seeking seed/angel funding),,"B2B connect for influencer marketing. 

B2C - Feedback on my product. Help me improve it by being my early users. ","By helping them refine their idea, road map, pitch. Also, if they need any help on the influencer marketing department. I am always ready to help reducing my service to only a minimum token amount. "
Mumbai,,Startup Founder,"Fin Tech, Health Tech, Food Tech, AR, AI, Blockchain, Fashion","Product Development, Product Design",Design Agency,,Collaboration,"UX Design, Collaboration, Ideation"
"Green park colony,Hyderabad ",Agriculture enthusiast,"Under-Graduate Student, Startup Founder","Agri Tech, Food Tech","Product Design, Digital Marketing",Ideation (brainstorming around few ideas),,Networking,Building a intercommunal network 
Delhi,,"Under-Graduate Student, Startup Founder",E-commerce,Digital Marketing,"Growth (multiple customer, positive revenue, making profits)",,Looking for a CTO,Digital marketing
Navi Mumbai,"Management Professional with experience spanning across five industries such as Start-Up Ecosystem, E-Commerce, Travel and Tourism, Education and Finance in various roles from Community Manager, Customer Service, Strategic Planning, Operations, Marketing and Entrepreneurship over a period of more than nine years.","Startup Founder, Working Professional","Fin Tech, Health Tech, Food Tech, AI, Blockchain, Community Building","Operations, Community building",Early Growth (seeking seed/angel funding),,Looking forward to get more Digital Transformation projects.,Helping the Community with validating the idea and figuring out the Business Plan and also Community Building.
Hyderabad,,Working Professional,SaaS,"Operations, Product Development","Growth (multiple customer, positive revenue, making profits)",,Looking for engineering lead/manager,Tech discussions.
Chennai,"I am popularly called Profit Engineer because I help my clients become more Profitable FASTER.

I am the Founder and CEO of Ya Training, an organisation dedicated to helping Startups, Professionals and MSMEs to Increase their Sales and Improve their Profitability.","Startup Founder, Mentor, freelancer",Education,"Sales, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",,"Cofounder, Business Strategy, Funding",Not much idea
Hyderabad,,Startup Founder,Technology training,"Product Development, Digital Marketing",Early Growth (seeking seed/angel funding),,Nothing much,Upon their request it might be anything if i can do.
Hyderabad,,Working Professional,"Fin Tech, AI, Blockchain",Product Development,Don't have a startup,,Community network,"Mentoring , growing together , networking"
Vijayawada,,Startup Founder,Non profit,Strategizing,Ideation (brainstorming around few ideas),,Technology heads for my startup,My experience in non-profit and general entrepreneurship
Hyderabad,,Under-Graduate Student,"Agri Tech, Fin Tech, Health Tech, AI, Blockchain","Operations, Product Design",Don't have a startup,,Knowledge to explore the field of entrepreneurship,By providing useful information regarding anything
Hyderabad,Im a social entrepreneur. ,"Under-Graduate Student, Startup Founder, freelancer",Educational,"Operations, Product Development, Product Design, Community building",Ideation (brainstorming around few ideas),,I need constant motivation! ,I'm good in motivating and boosted talks!
Hyderabad,,Startup Founder,"AI, Electrical engineering","Product Development, Digital Marketing",Early Growth (seeking seed/angel funding),,Nothing,Business pitch evaluation
"Kondapur, Hyderabad ",Design | Backpacking | Music,"Working Professional, freelancer","AI, Blockchain, Human Tech","Product Design, Community building","Growth (multiple customer, positive revenue, making profits)",,Just to meet some best people and best minds around .,I can help in Design specifically UI & UX designing
Bangalore,,Working Professional,Android apps,Digital Marketing,Early Growth (seeking seed/angel funding),,Networking,Digital marketing
Jaipur,"I work as a project manager in real estate tech, heads everything for a company’s tech side from software development to digital marketing operations. Company name is Asset India ","Startup Founder, Working Professional",Real estate Tech,"Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,I use pushstart to learn something new everyday and make relevant connections.,"I have huge connection from every industry, I help others with relevant references and I can help
Others with Software Development, Digital Marketing, Content Creation and small investments."
"Indiranagar, Bangalore","Community manager, sales and marketing background","Startup Founder, Working Professional",Consumer apps,"Sales, Community building",Early Growth (seeking seed/angel funding),,Insights into consumer Mobile app businesses,"Community building, networking"
Bangalore ,,"Working Professional, Mentor",Taxation,"Tax compliance, company incorporation",Don't have a startup,,Networking and sales,"Company incorporation, tax compliances."
"Koramangala, Bengaluru",I am a Senior Business Analyst by profession. N anything n everythings about analytics gets me excited,Working Professional,Analytics,Data analytics,"Growth (multiple customer, positive revenue, making profits)",,None as of now,Help in terms of resolving analytics related tech/business querries. Also helping others with any required contact (if any)
Hyderabad ,,Post-Graduate Student,Blockchain,"Operations, Digital Marketing",Ideation (brainstorming around few ideas),,Not as of now.,We’ll need help after a couple of months.
Hyderabad ,,Working Professional,"Health Tech, Strategy Consulting ",Consulting ,Don't have a startup,,"No, just understanding the scenario for future ventures ","Create strategies across various domains such as marketing, sales etc. and help with research methodologies "
"Nizampet, Hyderabad",,Startup Founder,"AI, Blockchain, Clean Tech","Product Development, Community building","Growth (multiple customer, positive revenue, making profits)",,NA,By helping them with growth strategies or market approaches
Haryana,,"Startup Founder, Angel Investor, Mentor","Food Tech, E-Commerce","Product Development, Product Design, Digital Marketing, Community building",Early Growth (seeking seed/angel funding),,Funding,Finding investors
Bangalore,,Startup Founder,"Fin Tech, AI","Sales, Product Development, Product Design",Early Growth (seeking seed/angel funding),,"Looking for marketing of our product and early traction. 
Also looking for connects to other startups and media as well.","Guidance, product design and connects."
Ongole,,Startup Founder,EduTech,Community building,MVP (proof of concept is out with select customers),,No,Not an expert to give advice 
Delhi,,Post-Graduate Student,"Agri Tech, Food Tech","Digital Marketing, Community building",Don't have a startup,,Connects,Connects 
"Kochi, Kerala",,Under-Graduate Student,Blockchain,Content Creation and Marketing,Don't have a startup,,"Trying to make contacts, learn and grow",I can offer advice in my area of expertise
Hyderabad,,"Under-Graduate Student, freelancer","Fin Tech, AI, Blockchain","Operations, Digital Marketing",Don't have a startup,,help me in building network with people who are intlo blockchain and AI,i can help them in web development and digital marketing
"GOA, Delhi being student visit both the cities frequently",,"Under-Graduate Student, Startup Founder","Food Tech, Blockchain, Community platform","Product Development, Community building",Early Growth (seeking seed/angel funding),,Currently no,Connecting with college students.
Puducherry,,"Under-Graduate Student, Startup Founder",Cybersecurity,"Operations, Sales, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",,Would love to meet fellow pushstarters in cyber security field,"Cyber security , brand building, designing, community building "
Hyderabad,I'm an entrepreneur from Hyderabad with two successful ventures. Have always believed in ideas and have also believed in realising the ideas I get. Very much mad and passionate about marketing and brand building. ,Startup Founder,"Food Tech, Multiple fields","Product Development, Product Design, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",,None,Can help with connects and also help with the knowledge and experience I've gained over a good years of my startup life. 
"BSK 3rd Stage, Bangalore",,Startup Founder,Agri Tech,"Operations, Product Development, Product Design",MVP (proof of concept is out with select customers),,Currently nothing!,"We are in to Robotics, Electronics & IoT hardware domains hence can discuss solutions with others on these sectors."
Bangalore,I am interested in startups and startups and wanted to know and learn more from the other budding entrepreneurs and startups. I have a IT services startup and along with the product innovation startup. ,Startup Founder,"AiRSeat, Automobile accessories innovation ",Product Development,Early Growth (seeking seed/angel funding),,Spread the word about my startup,Helping in development MVP 
Bangalore,,"Startup Founder, Working Professional","Entertainment industry startup, Distribution, IT","Sales, Product Development, Backend dev Java",Early Growth (seeking seed/angel funding),,"Connecting with right people, how to get something done, how a particular thing works, etc.","Connections specific to my industry, business idea validation, helping out with startup related issues."
Hyderabad,,Working Professional,"AI, edutech","Product Development, Product Design",Don't have a startup,,Looking out to meet people with exciting ideas.  ,I can handle design and devlopment aspects of software based products
BITS Pilani K.K.Birla Goa Campus,,Under-Graduate Student,"ML,WebD",Tech,Ideation (brainstorming around few ideas),,Answer to Tech related queries,Solving tech related queries
goa,,"Under-Graduate Student, freelancer",ed tech,content writing,Ideation (brainstorming around few ideas),,connections and guidance,guidance
Bangalore,,Working Professional,Retail tech,"Operations, Product Development","Growth (multiple customer, positive revenue, making profits)",,Product management inputs,Improving startup processes(operations) enhancing productivity
Hyderabad,,"Startup Founder, Working Professional","Health Tech, Edutech, Ecommerce","Operations, Sales, Product Design, Digital Marketing",Early Growth (seeking seed/angel funding),,Any interns who wish to join the journey. Leads for funding.,Share advice
Hyderabad,"Working with Microsoft for past 1 year. Interested in ML, IOT",Working Professional,AI,Product Development,Don't have a startup,,Na,Can provide help in ML
Vijayawada,,"Startup Founder, Mentor","Agri Tech, Fin Tech, AR, AI","Operations, Product Development, Product Design, Digital Marketing",MVP (proof of concept is out with select customers),,Networking,Marketing
Hyderabad & Hyderabad ,A very non-MBA person. Stuck in the semiconductor tech world. Weigh Social enterpreneurship a lot more than profit maximization. ,Working Professional,None,None,Don't have a startup,,None,"I'm a layman in the pushstarters fields, so - none again. "
Hyderabad,,Startup Founder,"Agri Tech, Fin Tech, VR, AR, AI, Blockchain","Sales, Product Development, Product Design, Digital Marketing",Early Growth (seeking seed/angel funding),,Nope,Mentorship. How to start up. Mistakes to avoid
Bangalore,,"Working Professional, freelancer","VR, AR, Design","Product Design, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",,Not really. ,"Anyway possible. Help, collaborate, mentor."
"Madhapur, Hyderabad","User Interface design, Html, css, react, graphic design","Working Professional, freelancer","Fin Tech, AR","Product Design, Digital Marketing",Don't have a startup,,Freelance projects and volunteering,By using my design skills to help hustlers
Hyderabad,,Community Manager at 91springboard,Community Building,Community building,"Growth (multiple customer, positive revenue, making profits)",,Nope,Community Connects
"Borivali West, Mumbai","Freelancer Website Designer (www.diptik.in) & Social Activist, running an NGO (www.theupasana.org)","Startup Founder, freelancer, Social Activist",Social Work ,"Digital Marketing, Community building, Social work",Seeking funds,,Marketing ,Marketing
Delhi,,Under-Graduate Student,"Fin Tech, Food Tech, AI",Data analyst ,"Growth (multiple customer, positive revenue, making profits)",,Connection building,My experience.
"Vishalnagar, Pune",,Working Professional,"Fin Tech, AI, Blockchain",Banking domain,Public Company,pushtalent ,Look to switch from established company to a good start up ,I have help them with my contacts in Deutsche Bank. For now I can say this only. First I have to see how you guys function then I can really find my usefulness.
"Chattarpur, Delhi",,Startup Founder,"VR, AR, AI","Product Development, Product Design, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",,To build my network and get inspired from what others are doing. ,Venture design. Business Consultancy. MVP Design. Clarity of thoughts. Mistakes to avoid. Steps ahead.  
East Delhi,"Sports, technology, venture capital",Startup Founder(Product-based),"AI/ML, Saas","Sales, Product Development, Product Design, Product Design",Product (Have a fully-functional Product),,Do a back and forth with people who're working with ML and AI. Learn more about India's data privacy and legal policies. ,"I can help pushstarters with initial startup phase. Whats and whatnots. Marketing the product, product design."
Chennai,,Working Professional,Media,"Operations, Community building",Public Company,,Learning about startup ecosystem,Ideation and Process setup
"Koramangala, Bangalore",,"Startup Founder, freelancer","Agri Tech, IT","Operations, Community building, Business Development","Growth (multiple customer, positive revenue, making profits)",,Help in development of my new Startup idea,"IT related services, Mentorship"
Mumbai,"A no nonsense girl , hard core feminist and a day dreamer ",Startup Founder,Education ,Product Development,MVP (proof of concept is out with select customers),,Collaboration with brands ,Help with my expertise in education sector 
"Plot no 35 bajrang nagar zhingabai takli , Nagpur 440030","I have my wealth management firm .We deal in Financial Planning , equities , mutual funds and Cryptos . We are one of the bigger OTC players of crypto in India ",Startup Founder,"Fin Tech, Blockchain","Sales, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",,Connection with crypto investors and Corporate / HNIs for wealth management services for them ,Will assist them in their business ..
Hitech city,,Working Professional,"Health Tech, Food Tech","Sales, Digital Marketing",Don't have a startup,,"Yess i want to push start 
 ....................",Many  ways
jabalpur,,not received a degree ,"Fin Tech, AI, Blockchain","Operations, Product Development, Product Design, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",,connections,connections and my services 
"Prashanth Nagar colony, Kondapur",,"Working Professional, freelancer","Agri Tech, Fin Tech, Health Tech, Food Tech, VR, AR, AI, Blockchain","Product Development, Product Design, Community building",Don't have a startup,,Looking to evaluate my idea,"In idea validation, rational and genuine reviews and promoting really goof startups "
Hyderabad,"Currently I am studying BCA, 2nd year. I am really interested in web Development which right now I am following it's path.",Under-Graduate Student,AI,Community building,Don't have a startup,,To find intership and job regarding Web Development.,"Advising, and management."
"Khairatabad, Hyderabad",,"Startup Founder, Working Professional, freelancer","Agri Tech, Food Tech, Blockchain",Product Development,Ideation (brainstorming around few ideas),,funding once the product is done,As a front-end angular developer always ready to help with product development
Gachibowli & Hyderabad,"A techie more into full stack developer, looking for more opportunities to take my career into next level","Working Professional, freelancer","Fin Tech, Health Tech",Product Development,Don't have a startup,,Like to know more opportunities.,By providing suggestions on the area where I'm strong & confident
Madhapur Hyderabad ,,Working Professional,Consulting ,Finance ,Don't have a startup,,None,None 
"Hyderabad, Sri nagar Colony( yousufguda)","An engineer having a strong penchant for technology in the developing world and a product leader committed to advocating for the user. Formerly worked as a business sales strategist in a travel based startup in the U.K. I am determined instigator of change having much interested in politics, psychology, and economics.","Startup Founder, Mentor, freelancer","Food Tech, E-commerce, marketplace ","Operations, Sales, Product Development, Marketing, sales strategist ",Under development,,Looking for a tech guy to be a founder/ working on mean stack,"Business development, business analyst, building sales channel, marketer -digital and in market"
"Hitech City, Hyderabad ",,"Working Professional, freelancer",IoT,Product Development,"Growth (multiple customer, positive revenue, making profits)",,Possible opportunities for contribution to innovative IoT solutions,Can provide help with taking IoT solutions from ideation phase to market
Hyderabad,Entrepreneurship,Startup Founder,"Fin Tech, Internet products","Operations, Sales, Product Development, Product Design, Digital Marketing, Community building, Organisation management","Growth (multiple customer, positive revenue, making profits)",,Mentorship and networking,Product building and marketing
Hyderabad,,"Under-Graduate Student, Startup Founder",Marketing and Management ,Operations,Ideation (brainstorming around few ideas),,Idea Validation ,Professional contacts 
Chennai,,"Startup Founder, Working Professional, freelancer",Chemical Engineering,"Product Development, Digital Marketing",Ideation (brainstorming around few ideas),,Contacts ,Digital marketing and WordPress website development
Pune ,I am a CEO of Euphorie Eworld. Recently I start new setup in pune. ,"Startup Founder, Working Professional, freelancer","Health Tech, Food Tech, AI","Sales, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",digital marketing founder of a huge company,Connect building ,My expertise (digital marketing) 
Hyderabad,,Startup Founder,Computer Vision,Digital Marketing,Ideation (brainstorming around few ideas),,Networking,Providing help with mentorship and resources.
Sanjeeva Reddy Nagar,,Mentor,"Agri Tech, Food Tech","Operations, Sales, Digital Marketing, Community building",Don't have a startup,,"Networking, funding etc","Consulting, mentoring etc"
Hyderabad,,"Working Professional, freelancer","Patent Designs,product designs,Mechanical Designs","Product Development, Product Design, Digital Marketing, Patent Illustrations",POC is ready.Patent to be taken,,"I want to learn at every point of time.For now,I am looking for funding.I need some knowledge on startup strategies.","I can help in mentoring to develop ideas,concepts in the area of my subject expertise.Also I help people seeking for internships,jobs,competition and contests,student programs with companies.I can help them in learning designing and get them exact resources."
Santiago / Hyderabad,,Startup Founder,SaaS,Digital Marketing,"Growth (multiple customer, positive revenue, making profits)",,Nothing Specific,Help with marketing and data analysis
