,About your interest,Briefs and Interests,Stage of your startup/Employer?,Specific Connect,Reason for specific connect,Helping for others,area,city,expertise0,expertise1,expertise2,expertise3,expertise4,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9
10,nan,Startup Founder,MVP (proof of concept is out with select customers),,,,Hyderabad,,Product Design, Program management,,,,Co-working Spaces,,,,,,,,
11,education space food industry,Working Professional,Public Company,,Idea validation and help in boot strapping ,"If I turn out successful, I can share my experiences and ideas.",Dilshuknagar, Hyderabad,Operations, Research and development ,,,,Basic research,,,,,,,,
12,helping clients to increase sales by 30 with our addoll,"Startup Founder, Working Professional","Growth (multiple customer, positive revenue, making profits)",,"Expansion, team building.","sales & marketing, growth strategy, development",Hyderabad,,Operations, Sales, Product Development, Product Design, Digital Marketing,Sales & Marketing , Digital marketing & Branding.,,,,,,,
13,nan,Startup Founder,Early Growth (seeking seed/angel funding),,Looking to connect with investors and other entrepreneurs from logistics industry.,Contributing and connecting. ,Mumbai,,Operations, Sales, Product Development,,,Logistics, Location Intelligence,,,,,,,
14,i am chatbot developer and fitness enthusiast hence working on building next generation fitness virtual assistance also we httpchatbotwebsite develop awesome chatbot for sme would love to meet new people specially in startup community i think we can meet for coffee and chat,"Startup Founder, Working Professional",MVP (proof of concept is out with select customers),,Help to validate my idea and be early user to gain advantage.,"Help them to stay fit, can help to build chatbot as well.",Whitefield , Hyderabad,Product Development,,,,,Health Tech, AR, AI,,,,,,
15,nan,"Startup Founder, Mentor","Growth (multiple customer, positive revenue, making profits)",,,,Koramangala, Bengaluru,Sales, Digital Marketing, Community building, Growth Strategy,,Health Tech, Food Tech, E-commerce & Internet Startups,,,,,,
16,deep learning ai  computer vision robotics,"Post-Graduate Student, Startup Founder, Mentor",MVP (proof of concept is out with select customers),,"Build a team, networking","MVP advice, CTO point of view advice",Lb Nagar, Hyderabad,Product Development,,,,,AI,,,,,,,,
17,a history of working in the elearning and event management industry strong professional currently pursuing a bachelor of technology btech focused in electrical and electronics engineering from srm university headed operations for the climber  chennai for over a year managed a team of 60 members and successfully worked on projects like litup chennai  iyc 2017 iyc 2018  recess and colab personal interests are mainly sports  beatboxing and business,"Under-Graduate Student, freelancer","Growth (multiple customer, positive revenue, making profits)",,Mentorship and guidance. ,Probably one of the youngest in the community. Can bring in new ideas. ,Chennai,,Operations, Sales, Partnerships,,,EdTech,,,,,,,,
18,i am a ui ux designer,"Post-Graduate Student, Mentor, freelancer",Don't have a startup,,,With my Digital Product Design skills - UI UX help. Also small scale brand identity design.,Bangalore,,Product Design,,,,,VR, AR, Design,,,,,,
19,im a electronics and instrumentation engg fresher my interests are in embedded systems automation robotics process control and industrial instrumentation i have basic knowledge about c and matlab,Under-Graduate Student,Don't have a startup,,"I'm currently looking for job openings in electronics and Instrumentation Engg for freshers in chennai, Bangalore or hyderabad. It would be great if PushStarters help in finding a suitable job. ",I can help them of informing them of the leads for jobs that I come to know or any other help required that I can do. ,Ayanavaram, chennai ,Product Development,,,,,AI,,,,,,,,
20,nan,Under-Graduate Student,Don't have a startup,,,,Bhubaneswar, Odisha,Product Development,,,,,Ad-Tech,,,,,,,,
21,nan,Working Professional,Don't have a startup,,"Idea validation, networking, learning","Mentoring, brainstorming, research ",Hyderabad,,Sales, Product Development, Product Design,,,Fin Tech, AI, Blockchain,,,,,,
22,nan,Startup Founder,Early Growth (seeking seed/angel funding),,Networking ,Knowledge Sharing,Whitefields, Hyderabad,Operations, Sales, Product Development,,,AR, AI, Blockchain,,,,,,
23,nan,Working Professional,Don't have a startup,,,Help with sales process,Kondapur, Hyderabad ,Sales,,,,,Agri Tech, Fin Tech, Health Tech, AI, Sales Tech,,,,
24,mechanical engineer and have in an aviation,Under-Graduate Student,Don't have a startup,,,,Chennai,,Product Development,,,,,VR,,,,,,,,
25,nan,"Working Professional, Mentor","Growth (multiple customer, positive revenue, making profits)",,Need some guidance regarding getting investment for a startup.,Any tech related help.,Hyderabad ,,Product Development, Digital Marketing,,,,Fin Tech, VR, AR, AI, Blockchain,,,,
26,nan,"Under-Graduate Student, Working Professional, freelancer","Growth (multiple customer, positive revenue, making profits)",,,,Paris. ,,Operations, Product Development, Community building,,,VR, AR,,,,,,,
27,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Would love to connect with more tech oriented people to bring more innovation into defense ,,Hyderabad,,Operations, Sales,,,,Defense manufacturing ,,,,,,,,
28,55 years in isro new rocket engine development started up my own restaurant and sold mba from isb joined future group in their new technology development team interested in utilizing technology for new ventures,Working Professional,Don't have a startup,,Networking and seeking partners to work with,Expertise and network,CV Raman Nagar, Bengaluru,Operations, Project Management,,,,Agri Tech, Fin Tech, AI, Blockchain, Aerospace,,,,
29,nan,Startup Founder,MVP (proof of concept is out with select customers),,,Teaching Pushstarters to build MVP without code!,East Delhi,Delhi,Product Development,,,,,AI,,,,,,,,
30,nan,Under-Graduate Student,Ideation (brainstorming around few ideas),,Mentoring,,JAIPUR,,Operations, Product Development, Product Design, Digital Marketing,,Fin Tech, Food Tech, AI, Blockchain,,,,,
31,nan,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,,Can be helpful in terms of operations and product development! ,Hyderabad ,,Product Development,,,,,AI,,,,,,,,
32,nan,"Under-Graduate Student, Startup Founder, Working Professional",Early Growth (seeking seed/angel funding),,,,Hyderabad ,,Product Development, Product Design, Digital Marketing, Community building,,Fin Tech, Food Tech, Blockchain,,,,,,
33,coming to me im passionate about communities startups nonprofits coworking spaces and healthtech im currently living in hyderabad and working as business development manager at talkadoc which is a doctor and patient engagement saas platform for mental illness care i previously founded saakshar a nonprofit which used to work in the education space i would always be found reading something or the other in the pocket app watching videos on youtube and forging relationships with new people,Working Professional,Early Growth (seeking seed/angel funding),,Looking forward to connecting with as many people as I can and knowing more about them.,I can help with connects and required resources etc.,Indiranagar and Hyderabad,,Sales, Community building,,,,Health Tech,,,,,,,,
34,nan,Under-Graduate Student,MVP (proof of concept is out with select customers),,"Early adopters, as my product is targeted toward startup founders.","By guiding others who are struggling with ideas, provide contacts and references and also initiate interesting conversations on the group.",BITS Pilani,  Hyderabad,Sales, Digital Marketing,,,,Fin Tech, Health Tech,,,,,,,
35,nan,Working Professional,Don't have a startup,,Learning the start up system and listening to new ideas of the startups,guiding product devlopement..beta testing may be...,Hyderabad Miyapur,,Product Development, Product Design,,,,Health Tech, VR, AR, AI, Blockchain,,,,
36,had a startup in my second year dealing with the collection of public opinions via giving instant gratification to the users,Under-Graduate Student,MVP (proof of concept is out with select customers),,,,Hyderabad,,Product Development,,,,,AI, Blockchain,,,,,,,
37,nan,Working Professional,Ideation (brainstorming around few ideas),,Looking for a cofounder ,,Vijayawada ,,Product Design,,,,,AI,,,,,,,,
38,nan,Under-Graduate Student,Don't have a startup,,,,Karol bagh, New Delhi,Operations,,,,,Agri Tech, Food Tech,,,,,,,
39,cofounder  ceo  favo construction technologies pvt ltd,Startup Founder,Ideation (brainstorming around few ideas),,Networking ,Potential business partnership ,Hyderabad,,Operations, Product Development, Product Design,,,freeform construction (concrete 3D printing) ,,,,,,,,
40,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,No,"Sharing experience, connections.",Hyderabad,,Business Owner,,,,,B2B,,,,,,,,
41,passionate about tech likes to build stuff,Working Professional,Don't have a startup,,Nope,Knowledge gained in AI,Mumbai,,Product Development,,,,,AI,,,,,,,,
42,nan,"Startup Founder, Mentor",,,Not at the moment,Mentoring,Hyderabad,,Operations, Sales,,,,L&D and recruitment,,,,,,,,
43,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Enhance knowledge and networl,Knowledge sharing,Ghaziabad, NCR,Operations, Sales,,,,Fin Tech, Health Tech, Food Tech, AI, Blockchain,,,,
44,nan,Startup Founder,Early Growth (seeking seed/angel funding),,"Sales, Fund raise","Product Dev, Anything in tech",Tarnaka, Hyderabad,Operations, Product Development,,,,Cyber Security,,,,,,,,
45,i am interested in edtech astronomy and tech products in general,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,Connects with domain people,Anything related to sales process and building a niche community of users,Delhi,,Sales, Product Development, Community building,,,Edtech ,,,,,,,,
46,nan,freelancer,Ideation (brainstorming around few ideas),digital marketing & content writing expert,Freelancing projects,Content,PUNE,,Digital Marketing, Community building,,,,Marketing,,,,,,,,
47,nan,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,Looking for opportunities in Electronics & Hardware based Startups!,"Providing information on electronics based startups, like component sourcing, etc",Hyderabad,,Product Development,,,,,Health Tech, AI, Electronics and Hardware,,,,,,
48,nan,Post-Graduate Student,Don't have a startup,,At the moment no,I have few friends of mine who are willing to start their own venture I will try to invite them such that it will beneficial to both sides. ,Saidabad located in hyderabad ,,Vlsi front end designer,,,,,Vlsi domain ,,,,,,,,
49,i am presently pursuing my 4th yr btech in mechanical engineering at iit bhubaneswar and am passionate about solving the real life problems and to innovate continuosly i am working on my own ideas and am looking for any relevant connections hobbies photography,Under-Graduate Student,Ideation (brainstorming around few ideas),,I am looking forward for suggestions on how to proceed further from the basic idea to validation and then to setting up a company.,"I can give suggestions to the ideas people are coming up subjected to the condition that , I have a prior knowledge and interests in that particular domain.",Visakhapatnam,,Operations, Product Design,,,,Health Tech, Service oriented startups,,,,,,,
50,i am a product designer i am the founder and design director of prodotype i design and build products,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,"If Pushstarters can help me generate leads for developing and designing their products, that will be awesome. ",I would be happy to help pushstarters by doing product design for them for a lower price. We can do this through Push deals. ,Puducherry,,Product Development, Product Design,,,,Agri Tech, Food Tech, Product Design,,,,,,
51,nan,Under-Graduate Student,Ideation (brainstorming around few ideas),,Validate Ideas,"Technical Skills
Engage with discussions",Hyderabad,,Product Development, Technical Skills,,,,Fin Tech, AI,,,,,,,
52,founder and ceo quackquack,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Looking to connect with ml/ai experts,Growth hacking ,Hyderabad,,Product Development, Digital Marketing,,,,Consumer internet ,,,,,,,,
53,nan,freelancer,Ideation (brainstorming around few ideas),,Networking,Events Releted Problems,MLB Colony, Gwalior MP,Operations, Product Development, Community building, Event Management,,Education,,,,,,,,
54,nan,"Startup Founder, freelancer",Early Growth (seeking seed/angel funding),,Connections,Providing IT Services,SR nagar, Hyderabad ,Product Development,,,,,IT,,,,,,,,
55,finance tech startup enthusiast critic,Working Professional,MVP (proof of concept is out with select customers),,Nothing,In whatver way possible,Gurgaon delhi,,Digital Marketing,,,,,Agri Tech, Fin Tech, Health Tech, Food Tech, Blockchain,,,,
56,blockchain aiml cv iot rpa,"Startup Founder, Working Professional, Angel Investor","Growth (multiple customer, positive revenue, making profits)",,Support,"Network, employment, funding",Hyderabad,,Product Development, Product Design, Digital Marketing,,,Agri Tech, Fin Tech, VR, AR, AI, Blockchain,,,
57,nan,"Startup Founder, Working Professional",Early Growth (seeking seed/angel funding),,"B2B connect for influencer marketing. 

B2C - Feedback on my product. Help me improve it by being my early users. ","By helping them refine their idea, road map, pitch. Also, if they need any help on the influencer marketing department. I am always ready to help reducing my service to only a minimum token amount. ",MG Road Bengaluru,,Product Development, Digital Marketing,,,,Fin Tech, Blockchain, TravelTech,,,,,,
58,nan,Startup Founder,Design Agency,,Collaboration,"UX Design, Collaboration, Ideation",Mumbai,,Product Development, Product Design,,,,Fin Tech, Health Tech, Food Tech, AR, AI, Blockchain, Fashion,,
59,agriculture enthusiast,"Under-Graduate Student, Startup Founder",Ideation (brainstorming around few ideas),,Networking,Building a intercommunal network ,Green park colony,Hyderabad ,Product Design, Digital Marketing,,,,Agri Tech, Food Tech,,,,,,,
60,nan,"Under-Graduate Student, Startup Founder","Growth (multiple customer, positive revenue, making profits)",,Looking for a CTO,Digital marketing,Delhi,,Digital Marketing,,,,,E-commerce,,,,,,,,
61,management professional with experience spanning across five industries such as startup ecosystem ecommerce travel and tourism education and finance in various roles from community manager customer service strategic planning operations marketing and entrepreneurship over a period of more than nine years,"Startup Founder, Working Professional",Early Growth (seeking seed/angel funding),,Looking forward to get more Digital Transformation projects.,Helping the Community with validating the idea and figuring out the Business Plan and also Community Building.,Navi Mumbai,,Operations, Community building,,,,Fin Tech, Health Tech, Food Tech, AI, Blockchain, Community Building,,,
62,nan,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,Looking for engineering lead/manager,Tech discussions.,Hyderabad,,Operations, Product Development,,,,SaaS,,,,,,,,
63,i am popularly called profit engineer because i help my clients become more profitable faster i am the founder and ceo of ya training an organisation dedicated to helping startups professionals and msmes to increase their sales and improve their profitability,"Startup Founder, Mentor, freelancer","Growth (multiple customer, positive revenue, making profits)",,"Cofounder, Business Strategy, Funding",Not much idea,Chennai,,Sales, Digital Marketing,,,,Education,,,,,,,,
64,nan,Startup Founder,Early Growth (seeking seed/angel funding),,Nothing much,Upon their request it might be anything if i can do.,Hyderabad,,Product Development, Digital Marketing,,,,Technology training,,,,,,,,
65,nan,Working Professional,Don't have a startup,,Community network,"Mentoring , growing together , networking",Hyderabad,,Product Development,,,,,Fin Tech, AI, Blockchain,,,,,,
66,nan,Startup Founder,Ideation (brainstorming around few ideas),,Technology heads for my startup,My experience in non-profit and general entrepreneurship,Vijayawada,,Strategizing,,,,,Non profit,,,,,,,,
67,nan,Under-Graduate Student,Don't have a startup,,Knowledge to explore the field of entrepreneurship,By providing useful information regarding anything,Hyderabad,,Operations, Product Design,,,,Agri Tech, Fin Tech, Health Tech, AI, Blockchain,,,,
68,im a social entrepreneur,"Under-Graduate Student, Startup Founder, freelancer",Ideation (brainstorming around few ideas),,I need constant motivation! ,I'm good in motivating and boosted talks!,Hyderabad,,Operations, Product Development, Product Design, Community building,,Educational,,,,,,,,
69,nan,Startup Founder,Early Growth (seeking seed/angel funding),,Nothing,Business pitch evaluation,Hyderabad,,Product Development, Digital Marketing,,,,AI, Electrical engineering,,,,,,,
70,design  backpacking  music,"Working Professional, freelancer","Growth (multiple customer, positive revenue, making profits)",,Just to meet some best people and best minds around .,I can help in Design specifically UI & UX designing,Kondapur, Hyderabad ,Product Design, Community building,,,,AI, Blockchain, Human Tech,,,,,,
71,nan,Working Professional,Early Growth (seeking seed/angel funding),,Networking,Digital marketing,Bangalore,,Digital Marketing,,,,,Android apps,,,,,,,,
72,i work as a project manager in real estate tech heads everything for a companys tech side from software development to digital marketing operations company name is asset india,"Startup Founder, Working Professional","Growth (multiple customer, positive revenue, making profits)",,I use pushstart to learn something new everyday and make relevant connections.,"I have huge connection from every industry, I help others with relevant references and I can help
Others with Software Development, Digital Marketing, Content Creation and small investments.",Jaipur,,Operations, Sales,,,,Real estate Tech,,,,,,,,
73,community manager sales and marketing background,"Startup Founder, Working Professional",Early Growth (seeking seed/angel funding),,Insights into consumer Mobile app businesses,"Community building, networking",Indiranagar, Bangalore,Sales, Community building,,,,Consumer apps,,,,,,,,
74,nan,"Working Professional, Mentor",Don't have a startup,,Networking and sales,"Company incorporation, tax compliances.",Bangalore ,,Tax compliance, company incorporation,,,,Taxation,,,,,,,,
75,i am a senior business analyst by profession n anything n everythings about analytics gets me excited,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,None as of now,Help in terms of resolving analytics related tech/business querries. Also helping others with any required contact (if any),Koramangala, Bengaluru,Data analytics,,,,,Analytics,,,,,,,,
76,nan,Post-Graduate Student,Ideation (brainstorming around few ideas),,Not as of now.,We’ll need help after a couple of months.,Hyderabad ,,Operations, Digital Marketing,,,,Blockchain,,,,,,,,
77,nan,Working Professional,Don't have a startup,,"No, just understanding the scenario for future ventures ","Create strategies across various domains such as marketing, sales etc. and help with research methodologies ",Hyderabad ,,Consulting ,,,,,Health Tech, Strategy Consulting ,,,,,,,
78,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,,By helping them with growth strategies or market approaches,Nizampet, Hyderabad,Product Development, Community building,,,,AI, Blockchain, Clean Tech,,,,,,
79,nan,"Startup Founder, Angel Investor, Mentor",Early Growth (seeking seed/angel funding),,Funding,Finding investors,Haryana,,Product Development, Product Design, Digital Marketing, Community building,,Food Tech, E-Commerce,,,,,,,
80,nan,Startup Founder,Early Growth (seeking seed/angel funding),,"Looking for marketing of our product and early traction. 
Also looking for connects to other startups and media as well.","Guidance, product design and connects.",Bangalore,,Sales, Product Development, Product Design,,,Fin Tech, AI,,,,,,,
81,nan,Startup Founder,MVP (proof of concept is out with select customers),,No,Not an expert to give advice ,Ongole,,Community building,,,,,EduTech,,,,,,,,
82,nan,Post-Graduate Student,Don't have a startup,,Connects,Connects ,Delhi,,Digital Marketing, Community building,,,,Agri Tech, Food Tech,,,,,,,
83,nan,Under-Graduate Student,Don't have a startup,,"Trying to make contacts, learn and grow",I can offer advice in my area of expertise,Kochi, Kerala,Content Creation and Marketing,,,,,Blockchain,,,,,,,,
84,nan,"Under-Graduate Student, freelancer",Don't have a startup,,help me in building network with people who are intlo blockchain and AI,i can help them in web development and digital marketing,Hyderabad,,Operations, Digital Marketing,,,,Fin Tech, AI, Blockchain,,,,,,
85,nan,"Under-Graduate Student, Startup Founder",Early Growth (seeking seed/angel funding),,Currently no,Connecting with college students.,GOA, Delhi being student visit both the cities frequently,Product Development, Community building,,,,Food Tech, Blockchain, Community platform,,,,,,
86,nan,"Under-Graduate Student, Startup Founder","Growth (multiple customer, positive revenue, making profits)",,Would love to meet fellow pushstarters in cyber security field,"Cyber security , brand building, designing, community building ",Puducherry,,Operations, Sales, Digital Marketing, Community building,,Cybersecurity,,,,,,,,
87,im an entrepreneur from hyderabad with two successful ventures have always believed in ideas and have also believed in realising the ideas i get very much mad and passionate about marketing and brand building,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,None,Can help with connects and also help with the knowledge and experience I've gained over a good years of my startup life. ,Hyderabad,,Product Development, Product Design, Digital Marketing, Community building,,Food Tech, Multiple fields,,,,,,,
88,nan,Startup Founder,MVP (proof of concept is out with select customers),,Currently nothing!,"We are in to Robotics, Electronics & IoT hardware domains hence can discuss solutions with others on these sectors.",BSK 3rd Stage, Bangalore,Operations, Product Development, Product Design,,,Agri Tech,,,,,,,,
89,i am interested in startups and startups and wanted to know and learn more from the other budding entrepreneurs and startups i have a it services startup and along with the product innovation startup,Startup Founder,Early Growth (seeking seed/angel funding),,Spread the word about my startup,Helping in development MVP ,Bangalore,,Product Development,,,,,AiRSeat, Automobile accessories innovation ,,,,,,,
90,nan,"Startup Founder, Working Professional",Early Growth (seeking seed/angel funding),,"Connecting with right people, how to get something done, how a particular thing works, etc.","Connections specific to my industry, business idea validation, helping out with startup related issues.",Bangalore,,Sales, Product Development, Backend dev Java,,,Entertainment industry startup, Distribution, IT,,,,,,
91,nan,Working Professional,Don't have a startup,,Looking out to meet people with exciting ideas.  ,I can handle design and devlopment aspects of software based products,Hyderabad,,Product Development, Product Design,,,,AI, edutech,,,,,,,
92,nan,Under-Graduate Student,Ideation (brainstorming around few ideas),,Answer to Tech related queries,Solving tech related queries,BITS Pilani K.K.Birla Goa Campus,,Tech,,,,,ML,WebD,,,,,,,
93,nan,"Under-Graduate Student, freelancer",Ideation (brainstorming around few ideas),,connections and guidance,guidance,goa,,content writing,,,,,ed tech,,,,,,,,
94,nan,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,Product management inputs,Improving startup processes(operations) enhancing productivity,Bangalore,,Operations, Product Development,,,,Retail tech,,,,,,,,
95,nan,"Startup Founder, Working Professional",Early Growth (seeking seed/angel funding),,Any interns who wish to join the journey. Leads for funding.,Share advice,Hyderabad,,Operations, Sales, Product Design, Digital Marketing,,Health Tech, Edutech, Ecommerce,,,,,,
96,working with microsoft for past 1 year interested in ml iot,Working Professional,Don't have a startup,,Na,Can provide help in ML,Hyderabad,,Product Development,,,,,AI,,,,,,,,
97,nan,"Startup Founder, Mentor",MVP (proof of concept is out with select customers),,Networking,Marketing,Vijayawada,,Operations, Product Development, Product Design, Digital Marketing,,Agri Tech, Fin Tech, AR, AI,,,,,
98,a very nonmba person stuck in the semiconductor tech world weigh social enterpreneurship a lot more than profit maximization,Working Professional,Don't have a startup,,None,"I'm a layman in the pushstarters fields, so - none again. ",Hyderabad & Hyderabad ,,None,,,,,None,,,,,,,,
99,nan,Startup Founder,Early Growth (seeking seed/angel funding),,Nope,Mentorship. How to start up. Mistakes to avoid,Hyderabad,,Sales, Product Development, Product Design, Digital Marketing,,Agri Tech, Fin Tech, VR, AR, AI, Blockchain,,,
100,nan,"Working Professional, freelancer","Growth (multiple customer, positive revenue, making profits)",,Not really. ,"Anyway possible. Help, collaborate, mentor.",Bangalore,,Product Design, Digital Marketing, Community building,,,VR, AR, Design,,,,,,
101,user interface design html css react graphic design,"Working Professional, freelancer",Don't have a startup,,Freelance projects and volunteering,By using my design skills to help hustlers,Madhapur, Hyderabad,Product Design, Digital Marketing,,,,Fin Tech, AR,,,,,,,
102,nan,Community Manager at 91springboard,"Growth (multiple customer, positive revenue, making profits)",,Nope,Community Connects,Hyderabad,,Community building,,,,,Community Building,,,,,,,,
103,freelancer website designer wwwdiptikin  social activist running an ngo wwwtheupasanaorg,"Startup Founder, freelancer, Social Activist",Seeking funds,,Marketing ,Marketing,Borivali West, Mumbai,Digital Marketing, Community building, Social work,,,Social Work ,,,,,,,,
104,nan,Under-Graduate Student,"Growth (multiple customer, positive revenue, making profits)",,Connection building,My experience.,Delhi,,Data analyst ,,,,,Fin Tech, Food Tech, AI,,,,,,
105,nan,Working Professional,Public Company,pushtalent ,Look to switch from established company to a good start up ,I have help them with my contacts in Deutsche Bank. For now I can say this only. First I have to see how you guys function then I can really find my usefulness.,Vishalnagar, Pune,Banking domain,,,,,Fin Tech, AI, Blockchain,,,,,,
106,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,To build my network and get inspired from what others are doing. ,Venture design. Business Consultancy. MVP Design. Clarity of thoughts. Mistakes to avoid. Steps ahead.  ,Chattarpur, Delhi,Product Development, Product Design, Digital Marketing,,,VR, AR, AI,,,,,,
107,sports technology venture capital,Startup Founder(Product-based),Product (Have a fully-functional Product),,Do a back and forth with people who're working with ML and AI. Learn more about India's data privacy and legal policies. ,"I can help pushstarters with initial startup phase. Whats and whatnots. Marketing the product, product design.",East Delhi,,Sales, Product Development, Product Design, Product Design,,AI/ML, Saas,,,,,,,
108,nan,Working Professional,Public Company,,Learning about startup ecosystem,Ideation and Process setup,Chennai,,Operations, Community building,,,,Media,,,,,,,,
109,nan,"Startup Founder, freelancer","Growth (multiple customer, positive revenue, making profits)",,Help in development of my new Startup idea,"IT related services, Mentorship",Koramangala, Bangalore,Operations, Community building, Business Development,,,Agri Tech, IT,,,,,,,
110,a no nonsense girl  hard core feminist and a day dreamer,Startup Founder,MVP (proof of concept is out with select customers),,Collaboration with brands ,Help with my expertise in education sector ,Mumbai,,Product Development,,,,,Education ,,,,,,,,
111,i have my wealth management firm we deal in financial planning  equities  mutual funds and cryptos  we are one of the bigger otc players of crypto in india,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Connection with crypto investors and Corporate / HNIs for wealth management services for them ,Will assist them in their business ..,Plot no 35 bajrang nagar zhingabai takli , Nagpur 440030,Sales, Digital Marketing,,,,Fin Tech, Blockchain,,,,,,,
112,nan,Working Professional,Don't have a startup,,"Yess i want to push start 
 ....................",Many  ways,Hitech city,,Sales, Digital Marketing,,,,Health Tech, Food Tech,,,,,,,
113,nan,not received a degree ,"Growth (multiple customer, positive revenue, making profits)",,connections,connections and my services ,jabalpur,,Operations, Product Development, Product Design, Digital Marketing, Community building,Fin Tech, AI, Blockchain,,,,,,
114,nan,"Working Professional, freelancer",Don't have a startup,,Looking to evaluate my idea,"In idea validation, rational and genuine reviews and promoting really goof startups ",Prashanth Nagar colony, Kondapur,Product Development, Product Design, Community building,,,Agri Tech, Fin Tech, Health Tech, Food Tech, VR, AR, AI, Blockchain,
115,currently i am studying bca 2nd year i am really interested in web development which right now i am following its path,Under-Graduate Student,Don't have a startup,,To find intership and job regarding Web Development.,"Advising, and management.",Hyderabad,,Community building,,,,,AI,,,,,,,,
116,nan,"Startup Founder, Working Professional, freelancer",Ideation (brainstorming around few ideas),,funding once the product is done,As a front-end angular developer always ready to help with product development,Khairatabad, Hyderabad,Product Development,,,,,Agri Tech, Food Tech, Blockchain,,,,,,
117,a techie more into full stack developer looking for more opportunities to take my career into next level,"Working Professional, freelancer",Don't have a startup,,Like to know more opportunities.,By providing suggestions on the area where I'm strong & confident,Gachibowli & Hyderabad,,Product Development,,,,,Fin Tech, Health Tech,,,,,,,
118,nan,Working Professional,Don't have a startup,,None,None ,Madhapur Hyderabad ,,Finance ,,,,,Consulting ,,,,,,,,
