,co2
1978-10-28,333.1
1978-11-04,333.5
1978-11-11,333.8
1978-11-18,333.8
1978-11-25,334.2
1978-12-02,334.5
1978-12-09,334.8
1978-12-16,335.1
1978-12-23,335.1
1978-12-30,335.3
1979-01-06,335.3
1979-01-13,335.9
1979-01-20,336.8
1979-01-27,336.9
1979-02-03,336.9
1979-02-10,336.5
1979-02-17,336.7
1979-02-24,336.7
1979-03-03,337.1
1979-03-10,337.7
1979-03-17,337.4
1979-03-24,339.0
1979-03-31,338.8
1979-04-07,338.1
1979-04-14,338.6
1979-04-21,339.2
1979-04-28,339.6
1979-05-05,339.3
1979-05-12,338.8
1979-05-19,339.8
1979-05-26,339.6
1979-06-02,339.9
1979-06-09,339.5
1979-06-16,338.9
1979-06-23,338.9
1979-06-30,339.0
1979-07-07,338.2
1979-07-14,337.8
1979-07-21,337.3
1979-07-28,336.8
1979-08-04,337.0
1979-08-11,336.5
1979-08-18,336.1
1979-08-25,334.5
1979-09-01,334.4
1979-09-08,334.0
1979-09-15,334.2
1979-09-22,333.2
1979-09-29,334.1
1979-10-06,334.1
1979-10-13,333.9
1979-10-20,333.7
1979-10-27,334.1
1979-11-03,334.7
1979-11-10,334.8
1979-11-17,335.5
1979-11-24,335.6
1979-12-01,335.9
1979-12-08,336.5
1979-12-15,336.7
1979-12-22,336.8
1979-12-29,337.4
1980-01-05,337.6
1980-01-12,337.4
1980-01-19,338.3
1980-01-26,338.4
1980-02-02,338.0
1980-02-09,338.1
1980-02-16,338.6
1980-02-23,338.2
1980-03-01,339.3
1980-03-08,339.5
1980-03-15,340.0
1980-03-22,340.5
1980-03-29,341.0
1980-04-05,340.4
1980-04-12,340.9
1980-04-19,340.7
1980-04-26,341.0
1980-05-03,341.5
1980-05-10,341.3
1980-05-17,341.3
1980-05-24,340.9
1980-05-31,341.7
1980-06-07,341.3
1980-06-14,341.3
1980-06-21,340.8
1980-06-28,340.4
1980-07-05,340.4
1980-07-12,339.7
1980-07-19,338.5
1980-07-26,338.9
1980-08-02,337.9
1980-08-09,337.7
1980-08-16,337.7
1980-08-23,337.7
1980-08-30,337.0
1980-09-06,336.6
1980-09-13,335.7
1980-09-20,335.2
1980-09-27,336.0
1980-10-04,335.8
1980-10-11,335.8
1980-10-18,336.1
1980-10-25,336.4
1980-11-01,336.6
1980-11-08,336.9
1980-11-15,337.1
1980-11-22,337.3
1980-11-29,337.4
1980-12-06,337.7
1980-12-13,338.1
1980-12-20,338.3
1980-12-27,338.7
1981-01-03,338.9
1981-01-10,339.1
1981-01-17,339.3
1981-01-24,339.3
1981-01-31,339.5
1981-02-07,340.5
1981-02-14,340.0
1981-02-21,340.2
1981-02-28,341.1
1981-03-07,340.7
1981-03-14,341.0
1981-03-21,341.8
1981-03-28,342.1
1981-04-04,342.4
1981-04-11,342.4
1981-04-18,342.7
1981-04-25,342.3
1981-05-02,342.9
1981-05-09,343.0
1981-05-16,342.8
1981-05-23,342.7
1981-05-30,342.7
1981-06-06,342.6
1981-06-13,342.5
1981-06-20,341.8
1981-06-27,341.6
1981-07-04,341.0
1981-07-11,340.8
1981-07-18,339.7
1981-07-25,340.2
1981-08-01,339.5
1981-08-08,338.9
1981-08-15,338.4
1981-08-22,337.5
1981-08-29,337.7
1981-09-05,337.2
1981-09-12,337.0
1981-09-19,336.7
1981-09-26,335.9
1981-10-03,336.3
1981-10-10,336.6
1981-10-17,337.1
1981-10-24,337.2
1981-10-31,337.5
1981-11-07,337.8
1981-11-14,338.1
1981-11-21,338.5
1981-11-28,339.3
1981-12-05,339.2
1981-12-12,339.4
1981-12-19,339.6
1981-12-26,340.2
1982-01-02,340.2
1982-01-09,340.3
1982-01-16,340.7
1982-01-23,341.1
1982-01-30,341.2
1982-02-06,341.9
1982-02-13,341.1
1982-02-20,341.1
1982-02-27,342.1
1982-03-06,342.6
1982-03-13,342.6
1982-03-20,342.7
1982-03-27,342.8
1982-04-03,342.9
1982-04-10,343.3
1982-04-17,343.5
1982-04-24,344.2
1982-05-01,343.8
1982-05-08,343.6
1982-05-15,344.2
1982-05-22,344.1
1982-05-29,344.1
1982-06-05,343.4
1982-06-12,343.5
1982-06-19,343.4
1982-06-26,342.9
1982-07-03,342.5
1982-07-10,342.0
1982-07-17,342.0
1982-07-24,341.8
1982-07-31,341.3
1982-08-07,340.5
1982-08-14,340.0
1982-08-21,339.7
1982-08-28,338.3
1982-09-04,338.8
1982-09-11,338.6
1982-09-18,337.8
1982-09-25,336.9
1982-10-02,337.3
1982-10-09,338.0
1982-10-16,337.6
1982-10-23,337.9
1982-10-30,338.7
1982-11-06,338.4
1982-11-13,339.2
